Check Your Memory
After reading this issue of “The Watchtower”, do you remember—
✔ Why it is that many theological students enter seminaries “hot” and come out “cold”? P. 516, ¶6.
✔ How it was possible for Jesus to become a man and still retain his prehuman identity? P. 517, ¶4.
✔ Why Jesus’ fleshly body could not go to heaven? P. 520, ¶1.
✔ What minor sect of the Jews seems to have written the Dead Sea Scroll of Isaiah? P. 521, ¶3.
✔ Why some have called the Essenes the forerunners of Communism? P. 522, ¶2.
✔ The condition a district officer prescribed before Jehovah’s witnesses could be run out of a Nigerian town? P. 525, ¶4.
✔ What word the “Episcopal Churchnews” said best described the feeling running through “The Watchtower”? P. 526, ¶5.
✔ Why it is necessary for the Christian God to be distinguished by a name? P. 530, ¶8.
✔ How Jehovah has made his people independent of all translators that choose to obscure his name? P. 534, ¶19.
✔ What expression emphasizes that Jehovah is to be distinguished from other gods? P. 536, ¶25.
✔ Why teachers of the trinity doctrine will not like the “New World Translation of the Hebrew Scriptures”? P. 536, ¶26.
✔ Why teachers of eternal torment will not like the “New World Translation of the Hebrew Scriptures”? P. 537, ¶31.
✔ What constitutes a higher authorization to produce a translation of the Bible than any religious sect can confer? P. 540, ¶38.
✔ What is really behind the expression “hell fire”? P. 542, ¶7.

