Scripture Index for Texts Explained, 1959
GENESIS
1:22    28
1:26    27
1:27    27
1:28    28, 330, 591
2:4    326
2:7    346, 498, 590, 761
2:8    591
2:10    29
2:11    29
2:12    29
2:13    29
2:14    29
2:15    425, 591
2:16    259
2:17    217, 259, 677, 704
2:18    451
2:19    425
2:20    425
3:1    89, 447
3:2    89
3:3    89, 704
3:4    89, 178
3:5    89, 178, 198
3:6    89
3:7    89
3:8    59
3:12    627
3:13    627
3:14    91
3:15    91, 155, 197, 357
3:19    498, 761
3:22    92
3:23    76, 92
3:24    76, 92
5:1    326, 588
6:5    548
6:11    548
6:16    480
8:6    480
8:13    480
8:21    542
9:4    640, 646
9:5    640, 646
9:6    640, 646
10:1    588
10:8    232, 473, 647
10:9    232, 473, 647
10:10    473, 647
11:31    511
11:32    511
12:1    511
12:2    511
12:3    199, 511
12:4    511
13:8    452
13:9    452
13:10    59
14:19    180
14:20    180
22:16    593
22:17    593
22:18    357, 593
38:8    541
38:9    541
38:10    541
42:22    647
49:10    235, 358, 593
EXODUS
12:2    485, 492
12:3    485
12:6    485, 492
12:11    486
12:14    486
13:5    486
20:4    709
20:5    709
25:40    437
32:4    626
32:22    626
32:24    626
33:7    438
35:4    286
35:5    286
35:29    286
LEVITICUS
7:26    647
7:27    647
17:10    647
17:11    186, 380, 647
17:12    647
17:13    640, 648
17:14    640, 648
19:16    179
19:18    680
21:20    415
24:17    419
25:10    596
NUMBERS
9:13    488
14:34    216
18:31    715
32:23    169
DEUTERONOMY
4:23    711
4:24    711
4:25    711
4:26    711
4:27    711
4:28    711
6:5    265, 680
6:6    370, 549
6:7    370, 549, 550
6:15    265
10:12    680
12:16    640
12:23    640, 648
12:24    640, 648
15:23    640
16:1    486
18:17    358
18:18    358
18:19    358
19:21    332
23:1    415
25:4    715
25:11    415
25:12    415
32:4    28, 230, 677
32:5    260, 677
JOSHUA
1:8    274, 427
6:26    391
12:7    351
12:21    351
24:15    259
JUDGES
5:19    351
RUTH
1:16    265
1:17    265
1 SAMUEL
8:7    182
13:11    627
13:12    627
13:13    627
15:15    627
15:20    627
15:21    627
15:22    270
15:23    270
15:24    627
2 SAMUEL
7:12    358
7:13    358
1 KINGS
6:5    568
6:6    568
6:17    568
6:20    568
6:36    566
7:12    566
7:15    567
7:26    512, 567
7:27    567
7:38    567
7:49    576
8:46    744
16:34    391
17:16    452
21:19    391
21:23    391
22:38    391
2 KINGS
9:27    351
9:34    391
9:35    391
23:29    351
23:30    351
1 CHRONICLES
11:18    640
11:19    640
17:14    183
21:17    627
22:14    565
29:5    286
29:9    286
29:23    183
2 CHRONICLES
3:3    568
3:4    567
3:10    568
3:11    568
3:12    568
3:13    568
3:15    567
4:1    566
4:5    512, 567
4:9    566
20:15    625
36:16    569
EZRA
4:7    319, 629
4:8    629
4:11    629
4:23    629
5:6    629
5:7    629
6:1    629
ESTHER
1:1    319, 474, 538, 635
JOB
13:4    692
14:4    234
26:1    692
26:2    692
26:3    692
26:7    589
28:17    589
32:2    174
PSALMS
1:2    427
2:7    111
2:8    111
2:9    111, 358
11:5    227
14:1    328
14:3    744
16:8    169
16:10    72, 359
19:4    576
19:12    174
19:13    174, 467
19:14    174, 467
22:16    359
22:18    359
23:1    363
23:2    527
25:8    530
25:9    530
25:14    465, 688
27:1    504
27:11    520
32:8    270
32:9    270
34:12    741
34:13    741, 753
34:14    741
34:15    741
34:16    741
37:1    516
37:2    516
37:9    515
37:10    516
40:6    344
40:7    31, 344
40:8    31, 344
45:16    334
46:8    625, 739
46:9    625, 739
46:10    625
46:11    625
49:7    218
51:5    234
62:9    143
62:12    478
69:30    708
72:3    625
72:7    240, 625
72:8    240
78:72    364
85:8    623
85:9    623
85:10    623
90:2    686
101:5    178
101:8    178
102:19    152
102:20    152
104:5    254
110:1    181, 618
110:4    181
110:5    181
119:18    501
119:105    454
119:165    500
122:6    751
122:7    751
122:8    751
127:3    639
128:1    740
145:11    603
146:4    761
PROVERBS
2:6    686
2:7    686
2:8    686
2:9    686
2:10    460, 686
2:11    460, 686
2:12    686
2:13    686
2:14    686
2:15    686
2:16    686
2:17    686
2:21    218
2:22    218, 686
3:13    521, 752
3:17    752
3:19    684
3:20    684
3:21    684
3:22    685
3:23    685
3:24    685
3:25    685
3:26    685
6:23    271
8:12    697
8:13    697
8:14    697
8:22    330
8:24    256
8:25    256
8:30    330
11:13    178
11:24    452
11:25    452
12:20    754
14:12    523
14:28    25
15:1    753
15:3    169
15:8    173
16:5    90
18:10    504
18:12    109
18:13    173
18:17    174
18:19    173
19:2    293
19:13    741
20:9    174
20:19    178
21:9    741
21:27    173
23:6    484
23:7    484
23:23    68
24:11    653
24:12    653
24:19    516
24:20    516
25:20    589
28:13    627
29:18    500
29:23    555
29:25    502
ECCLESIASTES
2:14    151
2:15    151
2:16    151
3:19    151
7:1    503
9:2    151
9:3    151
9:5    761
10:10    695
12:1    528
12:7    91
12:12    644
12:13    644
12:14    169
SONG OF SOLOMON
4:13    76
ISAIAH
1:18    527
1:26    166
2:2    85, 624
2:3    85, 624
2:4    624
6:8    302
6:11    406
6:12    406
7:14    190, 359
8:18    150
9:6    240, 334, 358, 616
9:7    240, 334, 616, 625
10:21    134
10:22    134
10:23    134
11:6    625
11:9    315
12:1    572
19:19    700
23:2    308
23:7    308
23:12    308
27:5    747
28:1    135
28:2    135
28:3    135
28:4    135
28:5    148, 395
28:6    148, 395
28:7    136
28:8    136
28:9    138, 395
28:10    138, 395
28:11    139
28:12    139
28:13    139
28:14    142
28:15    142
28:16    142
28:17    142, 395
28:18    142, 395
28:19    142
28:20    145
28:21    145, 395
28:22    147, 395
28:23    148
28:24    148
28:25    148
28:26    148
28:27    148
28:28    148
28:29    148
29:9    137
29:10    137
29:11    137
29:12    137
29:13    137, 682
29:14    137, 682
30:21    530
32:1    334
33:24    219
34:1    620
34:2    620
34:3    620
34:4    620
35:1    83
35:2    83
35:3    528
35:4    528
35:5    83
35:6    83
35:7    83
35:8    83
35:9    83
35:10    83
40:22    589
44:8    713
45:1    105
45:4    105
45:7    745
45:18    27
51:3    60, 82
51:11    82
51:12    82, 504
51:16    382, 384
52:7    548
53:3    359
53:4    359
53:5    747
53:7    359
53:9    359
53:10    733
53:12    734
54:5    91
54:13    191, 753
55:1    138
