
Contents



Names and Order of the Booksof the Christian Greek Scriptures

PAGE   ABBREVIATION  BOOK
  17   Mt            Matthew
 157   Mr            Mark
 247   Lu            Luke
 401   Joh           John
 519   Ac            Acts
 671   Ro            Romans
 730   1Co           1 Corinthians
 786   2Co           2 Corinthians
 824   Ga            Galatians
 843   Eph           Ephesians
 864   Php           Philippians
 878   Col           Colossians
 891   1Th           1 Thessalonians
 904   2Th           2 Thessalonians
 911   1Ti           1 Timothy
 926   2Ti           2 Timothy
 938   Tit           Titus
 945   Phm           Philemon
 948   Heb           Hebrews
 992   Jas           James
1007   1Pe           1 Peter
1022   2Pe           2 Peter
1033   1Jo           1 John
1049   2Jo           2 John
1051   3Jo           3 John
1053   Jude          Jude
1058   Re            Revelation




