Contents
PAGE  CHAPTER
  5    1  What Can Add Meaning to Your Life?
 10    2  How Did Our Universe Get Here?—The Controversy
 28    3  What Is the Origin of Life?
 49    4  How Unique You Are!
 73    5  The Handiwork—What Is Behind It?
 85    6  An Ancient Creation Record—Can You Trust It?
103    7  What Can You Learn About the Creator From a Book?
120    8  The Creator Reveals Himself—To Our Benefit!
144    9  A Great Teacher Shows Us the Creator More Clearly
165   10  If the Creator Cares, Why So Much Suffering?
184   11  Add Meaning to Your Life Permanently

