Table of Contents
Page  Part
 3     1.  Does God Really Care About Us?
 3     2.  An Earth Free From Suffering
 4     3.  How We Can Know There Is a God
 9     4.  God Informs Us About His Purposes
10     5.  The Wonderful Gift of Free Will
12     6.  Why God Has Permitted Suffering
14     7.  What Has Been the Result of Rebellion?
17     8.  God’s Purpose Moves Toward Fulfillment
19     9.  How We Know We Are in “the Last Days”
22    10.  The Marvelous New World of God’s Making
28    11.  The New World’s Foundation Now Being Formed

