
Appendix A

 A1  Principles of Bible Translation

 A2  Features of This Revision

 A3  How the Bible Came to Us

 A4  The Divine Name in the Hebrew Scriptures

 A5  The Divine Name in the Christian Greek Scriptures

A6-A  Chart: Prophets and Kings of Judah and of Israel (Part 1)

A6-B  Chart: Prophets and Kings of Judah and of Israel (Part 2)

A7-A  Main Events of Jesus’ Earthly Life—Leading Up to Jesus’ Ministry

A7-B  Main Events of Jesus’ Earthly Life—The Beginning of Jesus’ Ministry

A7-C  Main Events of Jesus’ Earthly Life—Jesus’ Great Ministry in Galilee (Part 1)

A7-D  Main Events of Jesus’ Earthly Life—Jesus’ Great Ministry in Galilee (Part 2)

A7-E  Main Events of Jesus’ Earthly Life—Jesus’ Great Ministry in Galilee (Part 3)

A7-F  Main Events of Jesus’ Earthly Life—Jesus’ Later Ministry East of the Jordan

A7-G  Main Events of Jesus’ Earthly Life—Jesus’ Final Ministry in Jerusalem (Part 1)

A7-H  Main Events of Jesus’ Earthly Life—Jesus’ Final Ministry in Jerusalem (Part 2)



